,title,rating,price,availability
34,Sophie's World,5,15.94,1
35,Penny Maybe,3,33.29,1
36,Maude (1883-1993):She Grew Up with the country,2,18.02,1
37,"In a Dark, Dark Wood",1,19.63,1
38,Behind Closed Doors,4,52.22,1
39,You can't bury them all: Poems,2,33.63,1
40,Slow States of Collapse: Poems,3,57.31,1
41,Reasons to Stay Alive,2,26.41,1
42,Private Paris (Private #10),5,47.61,1
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,23.11,1
44,Without Borders (Wanderlove #1),2,45.07,1
45,When We Collided,1,31.77,1
46,"We Love You, Charlie Freeman",5,50.27,1
47,Untitled Collection: Sabbath Poems 2014,4,14.27,1
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,44.18,1
49,Unicorn Tracks,3,18.78,1
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",1,25.52,1
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,16.28,1
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3,31.12,1
53,This One Summer,4,19.49,1
54,Thirst,5,17.27,1
55,The Torch Is Passed: A Harding Family Story,1,19.09,1
56,The Secret of Dreadwillow Carse,1,56.13,1
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",1,56.41,1
58,The Past Never Ends,4,56.5,1
59,The Natural History of Us (The Fine Art of Pretending #2),3,45.22,1
60,The Nameless City (The Nameless City #1),4,38.16,1
61,The Murder That Never Was (Forensic Instincts #5),3,54.11,1
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4,42.96,1
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",4,23.89,1
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,3,16.77,1
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",5,20.59,1
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,1,37.13,1
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,1,56.06,1
68,The Death of Humanity: and the Case for Life,4,58.11,1
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",3,49.05,1
70,The Art Forger,3,40.76,1
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,1,19.73,1
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,5,32.24,1
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4,41.83,1
74,Soul Reader,2,39.58,1
75,Security,2,39.25,1
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",3,25.02,1
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",2,51.04,1
78,Reskilling America: Learning to Labor in the Twenty-First Century,2,19.83,1
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",3,50.4,1
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",5,13.61,1
81,Princess Between Worlds (Wide-Awake Princess #5),5,13.34,1
82,"Pop Gun War, Volume 1: Gift",1,18.97,1
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",2,36.28,1
84,Patience,3,10.16,1
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",4,15.44,1
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),1,48.41,1
87,Online Marketing for Busy Authors: A Step-By-Step Guide,1,46.35,1
88,On a Midnight Clear,3,14.07,1
89,Obsidian (Lux #1),2,14.86,1
90,My Paris Kitchen: Recipes and Stories,2,33.37,1
91,Masks and Shadows,2,56.4,1
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",4,14.02,1
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",2,46.91,1
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",3,45.61,1
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),2,19.92,1
96,"Layered: Baking, Building, and Styling Spectacular Cakes",1,40.11,1
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),2,53.9,1
98,Join,5,35.67,1
99,In the Country We Love: My Family Divided,4,22,1
100,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,5,57.36,1
101,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",2,29.17,1
102,I am a Hero Omnibus Volume 1,3,54.63,1
103,How to Be Miserable: 40 Strategies You Already Use,1,46.03,1
104,Her Backup Boyfriend (The Sorensen Family #1),1,33.97,1
105,"Giant Days, Vol. 2 (Giant Days #5-8)",2,22.11,1
106,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,29.69,1
107,First and First (Five Boroughs #3),4,15.97,1
108,Fifty Shades Darker (Fifty Shades #2),1,21.96,1
109,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,2,54.35,1
110,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",2,37.97,1
111,Danganronpa Volume 1,4,51.99,1
112,Crown of Midnight (Throne of Glass #2),3,43.29,1
113,"Codename Baboushka, Volume 1: The Conclave of Death",4,36.72,1
114,Camp Midnight,4,17.08,1
115,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,5,29.14,1
116,Burning,3,28.81,1
117,Bossypants,2,49.46,1
118,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",2,37.92,1
119,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",2,28.09,1
120,Algorithms to Live By: The Computer Science of Human Decisions,1,30.81,1
121,A World of Flavor: Your Gluten Free Passport,1,42.95,1
122,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",5,56.76,1
123,A Murder in Time,1,16.64,1
124,A Flight of Arrows (The Pathfinders #2),5,55.53,1
125,A Fierce and Subtle Poison,4,28.13,1
126,A Court of Thorns and Roses (A Court of Thorns and Roses #1),1,52.37,1
127,(Un)Qualified: How God Uses Broken People to Do Big Things,5,54,1
128,You Are What You Love: The Spiritual Power of Habit,4,21.87,1
129,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",4,43.3,1
130,Tuesday Nights in 1980,2,21.04,1
131,Tracing Numbers on a Train,3,41.6,1
132,Throne of Glass (Throne of Glass #1),3,35.07,1
133,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,1,59.64,1
134,Thirteen Reasons Why,1,52.72,1
135,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,4,58.08,1
136,The Wedding Dress,1,24.12,1
137,The Vacationers,4,42.15,1
138,The Third Wave: An Entrepreneur’s Vision of the Future,5,12.61,1
139,The Stranger,4,17.44,1
140,The Shadow Hero (The Shadow Hero),1,33.14,1
141,The Secret (The Secret #1),4,27.37,1
142,The Regional Office Is Under Attack!,5,51.36,1
143,The Psychopath Test: A Journey Through the Madness Industry,2,36,1
144,The Project,1,10.65,1
145,The Power of Now: A Guide to Spiritual Enlightenment,2,43.54,1
146,The Omnivore's Dilemma: A Natural History of Four Meals,2,38.21,1
147,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,5,37.34,1
148,The Murder of Roger Ackroyd (Hercule Poirot #4),4,44.1,1
149,The Mistake (Off-Campus #2),3,43.29,1
150,The Matchmaker's Playbook (Wingmen Inc. #1),1,55.85,1
151,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,2,37.6,1
152,The Long Shadow of Small Ghosts: Murder and Memory in an American City,1,10.97,1
153,The Kite Runner,4,41.82,1
154,The House by the Lake,1,36.95,1
155,The Glittering Court (The Glittering Court #1),1,44.28,1
156,The Girl on the Train,2,55.02,1
157,The Genius of Birds,1,17.24,1
158,The Emerald Mystery,2,23.15,1
159,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,1,41.25,1
160,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,3,32,1
161,The Artist's Way: A Spiritual Path to Higher Creativity,5,38.49,1
162,The Art of War,5,33.34,1
163,The Argonauts,2,10.93,1
164,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,3,27.55,1
165,Suddenly in Love (Lake Haven #1),2,55.99,1
166,Something More Than This,4,16.24,1
167,Soft Apocalypse,2,26.12,1
168,So You've Been Publicly Shamed,2,12.23,1
169,Shoe Dog: A Memoir by the Creator of NIKE,2,23.99,1
170,"Shobu Samurai, Project Aryoku (#3)",3,29.06,1
171,Secrets and Lace (Fatal Hearts #1),1,20.27,1
172,Scarlett Epstein Hates It Here,5,43.55,1
173,Romero and Juliet: A Tragic Tale of Love and Zombies,1,36.94,1
174,Redeeming Love,5,20.47,1
175,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,1,41.06,1
176,Poems That Make Grown Women Cry,4,14.19,1
177,"Nightingale, Sing",1,38.28,1
178,Night Sky with Exit Wounds,1,41.05,1
179,Mrs. Houdini,5,30.25,1
180,Modern Romance,5,28.26,1
181,Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),1,10.76,1
182,Louisa: The Extraordinary Life of Mrs. Adams,2,16.85,1
183,Little Red,3,13.47,1
184,Library of Souls (Miss Peregrine’s Peculiar Children #3),5,48.56,1
185,Large Print Heart of the Pride,2,19.15,1
186,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,4,57.36,1
187,Hollow City (Miss Peregrine’s Peculiar Children #2),1,42.98,1
188,Grumbles,2,22.16,1
189,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4,49.43,1
190,Frostbite (Vampire Academy #2),5,29.99,1
191,Follow You Home,1,21.36,1
192,First Steps for New Christians (Print Edition),1,29,1
193,Finders Keepers (Bill Hodges Trilogy #2),5,53.53,1
194,"Fables, Vol. 1: Legends in Exile (Fables #1)",4,41.62,1
195,Eureka Trivia 6.0,4,54.59,1
196,Drive: The Surprising Truth About What Motivates Us,4,34.95,1
197,Done Rubbed Out (Reightman & Bailey #1),5,37.72,1
198,Doing It Over (Most Likely To #1),3,35.61,1
199,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",3,42.16,1
200,Dark Notes,5,19.19,1
201,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",3,19.43,1
202,Close to You,4,49.46,1
203,Chasing Heaven: What Dying Taught Me About Living,2,37.8,1
204,Big Magic: Creative Living Beyond Fear,3,30.8,1
205,Becoming Wise: An Inquiry into the Mystery and Art of Living,2,27.43,1
206,Beauty Restored (Riley Family Legacy Novellas #3),2,11.11,1
207,Batman: The Long Halloween (Batman),2,36.5,1
208,Batman: The Dark Knight Returns (Batman),5,15.38,1
209,Ayumi's Violin,2,15.48,1
210,Anonymous,4,46.82,1
211,Amy Meets the Saints and Sages,3,18.46,1
212,Amid the Chaos,1,36.58,1
213,Amatus,5,50.54,1
214,Agnostic: A Spirited Manifesto,5,12.51,1
215,Zealot: The Life and Times of Jesus of Nazareth,3,24.7,1
216,You (You #1),5,43.61,1
217,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",4,37.34,1
218,Wild Swans,2,14.36,1
219,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,4,52.65,1
220,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,4,38.2,1
221,What's It Like in Space?: Stories from Astronauts Who've Been There,2,19.6,1
222,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",1,53.9,1
223,Walt Disney's Alice in Wonderland,5,12.96,1
224,V for Vendetta (V for Vendetta Complete),4,37.1,1
225,Until Friday Night (The Field Party #1),2,46.31,1
226,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",2,45.95,1
227,Twenty Yawns,2,22.08,1
228,Through the Woods,2,25.38,1
229,This Is Where It Ends,2,27.12,1
230,The Year of Magical Thinking,2,43.04,1
231,The Wright Brothers,4,56.8,1
232,The White Queen (The Cousins' War #1),5,25.91,1
233,The Wedding Pact (The O'Malleys #2),3,32.61,1
234,The Time Keeper,5,27.88,1
235,The Testament of Mary,4,52.67,1
236,The Star-Touched Queen,5,46.02,1
237,The Songs of the Gods,5,44.48,1
238,The Song of Achilles,5,37.4,1
239,The Rosie Project (Don Tillman #1),1,54.04,1
240,The Power of Habit: Why We Do What We Do in Life and Business,3,16.88,1
241,The Marriage of Opposites,4,28.08,1
242,The Lucifer Effect: Understanding How Good People Turn Evil,1,10.4,1
243,The Long Haul (Diary of a Wimpy Kid #9),1,44.07,1
244,The Loney,1,23.4,1
245,The Literature Book (Big Ideas Simply Explained),3,17.43,1
246,The Last Mile (Amos Decker #2),2,54.21,1
247,The Immortal Life of Henrietta Lacks,2,40.67,1
248,The Hidden Oracle (The Trials of Apollo #1),2,52.26,1
249,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,3,28.77,1
250,The Guilty (Will Robie #4),2,13.82,1
251,The First Hostage (J.B. Collins #2),3,25.85,1
252,The Dovekeepers,1,48.78,1
253,The Darkest Lie,5,35.35,1
254,The Bane Chronicles (The Bane Chronicles #1-11),4,44.73,1
255,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,1,15.77,1
256,The 14th Colony (Cotton Malone #11),1,39.24,1
257,That Darkness (Gardiner and Renner #1),1,13.92,1
258,Tastes Like Fear (DI Marnie Rome #3),1,10.69,1
259,Take Me with You,3,45.21,1
260,Swell: A Year of Waves,1,45.58,1
261,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),5,11.89,1
262,Still Life with Bread Crumbs,3,26.41,1
263,Steve Jobs,5,39.5,1
264,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,4,44.74,1
265,Someone Like You (The Harrisons #2),5,52.79,1
266,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",4,35.43,1
267,Shtum,4,55.84,1
268,See America: A Celebration of Our National Parks & Treasured Sites,3,48.87,1
269,salt.,4,46.78,1
270,Robin War,3,47.82,1
271,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",2,25.48,1
272,Rain Fish,3,23.57,1
273,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",5,50.89,1
274,Pet Sematary,3,10.56,1
275,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",3,52.15,1
276,Once Was a Time,2,18.28,1
277,Old School (Diary of a Wimpy Kid #10),5,11.83,1
278,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,2,21.95,1
279,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",2,38.39,1
280,My Name Is Lucy Barton,1,41.56,1
281,My Mrs. Brown,3,24.48,1
282,My Kind of Crazy,1,40.36,1
283,Mr. Mercedes (Bill Hodges Trilogy #1),1,28.9,1
284,More Than Music (Chasing the Dream #1),2,37.61,1
285,Made to Stick: Why Some Ideas Survive and Others Die,5,38.85,1
286,Luis Paints the World,3,53.95,1
287,Luckiest Girl Alive,3,49.83,1
288,Lowriders to the Center of the Earth (Lowriders in Space #2),2,51.51,1
289,Love Is a Mix Tape (Music #1),1,18.03,1
290,Looking for Lovely: Collecting the Moments that Matter,5,29.14,1
291,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",4,46.91,1
292,Let It Out: A Journey Through Journaling,5,26.79,1
293,Lady Midnight (The Dark Artifices #1),5,16.28,1
294,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",1,19.55,1
295,Island of Dragons (Unwanteds #7),1,29.65,1
296,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,4,25.98,1
297,I Am Pilgrim (Pilgrim #1),4,10.6,1
298,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",5,14.75,1
299,"Hush, Hush (Hush, Hush #1)",3,47.02,1
300,Hold Your Breath (Search and Rescue #1),1,28.82,1
301,Hamilton: The Revolution,3,58.79,1
302,Greek Mythic History,5,10.23,1
303,God: The Most Unpleasant Character in All Fiction,5,30.03,1
304,Glory over Everything: Beyond The Kitchen House,3,45.84,1
305,Feathers: Displays of Brilliant Plumage,3,49.05,1
306,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",4,15.06,1
307,Every Last Word,3,46.47,1
308,Eligible (The Austen Project #4),3,27.09,1
309,El Deafo,5,57.62,1
310,Eight Hundred Grapes,4,14.39,1
311,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",5,51.75,1
312,"Eat Fat, Get Thin",2,54.07,1
313,Don't Get Caught,1,55.35,1
314,Doctor Sleep (The Shining #2),2,40.12,1
315,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),5,37.51,1
316,Dear Mr. Knightley,5,11.21,1
317,Daily Fantasy Sports,1,36.58,1
318,Crazy Love: Overwhelmed by a Relentless God,2,47.72,1
319,Cometh the Hour (The Clifton Chronicles #6),3,25.01,1
320,Code Name Verity (Code Name Verity #1),4,22.13,1
321,Clockwork Angel (The Infernal Devices #1),1,44.14,1
322,City of Glass (The Mortal Instruments #3),4,56.02,1
323,City of Fallen Angels (The Mortal Instruments #4),4,11.23,1
324,City of Bones (The Mortal Instruments #1),1,43.28,1
325,City of Ashes (The Mortal Instruments #2),1,47.27,1
326,Cell,4,20.29,1
327,Catching Jordan (Hundred Oaks),3,50.83,1
328,"Carry On, Warrior: Thoughts on Life Unarmed",3,31.85,1
329,Carrie,2,46.23,1
330,Buying In: The Secret Dialogue Between What We Buy and Who We Are,4,37.8,1
331,Brain on Fire: My Month of Madness,5,49.32,1
332,Batman: Europa,2,32.01,1
333,Barefoot Contessa Back to Basics,1,28.01,1
334,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,5,50.62,1
335,Balloon Animals,3,17.03,1
336,Art Ops Vol. 1,3,48.8,1
337,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),4,58.14,1
338,Angels Walking (Angels Walking #1),2,34.2,1
339,Angels & Demons (Robert Langdon #1),3,51.48,1
340,All the Light We Cannot See,5,29.87,1
341,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",2,10.9,1
342,Abstract City,5,56.37,1
343,A Time of Torment (Charlie Parker #14),5,48.35,1
344,A Study in Scarlet (Sherlock Holmes #1),2,16.73,1
345,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",2,56.48,1
346,A People's History of the United States,2,40.79,1
347,A Man Called Ove,1,39.72,1
348,A Distant Mirror: The Calamitous 14th Century,3,14.58,1
349,A Brush of Wings (Angels Walking #3),1,55.51,1
350,1491: New Revelations of the Americas Before Columbus,3,21.8,1
351,"The Three Searches, Meaning, and the Story",3,13.33,1
352,Searching for Meaning in Gailana,1,38.73,1
353,Rook,4,37.86,1
354,My Kitchen Year: 136 Recipes That Saved My Life,2,11.53,1
355,13 Hours: The Inside Account of What Really Happened In Benghazi,1,27.06,1
356,Will You Won't You Want Me?,3,13.86,1
357,Tipping Point for Planet Earth: How Close Are We to the Edge?,1,37.55,1
358,The Star-Touched Queen,5,32.3,1
359,The Silent Sister (Riley MacPherson #1),5,46.29,1
360,The Midnight Watch: A Novel of the Titanic and the Californian,1,26.2,1
361,The Lonely City: Adventures in the Art of Being Alone,2,33.26,1
362,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,4,59.15,1
363,The Golden Condom: And Other Essays on Love Lost and Found,1,39.43,1
364,The Epidemic (The Program 0.6),5,14.44,1
365,The Dinner Party,2,56.54,1
366,The Diary of a Young Girl,3,59.9,1
367,The Children,3,11.88,1
368,Stars Above (The Lunar Chronicles #4.5),2,48.05,1
369,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,3,21.21,1
370,Raspberry Pi Electronics Projects for the Evil Genius,4,49.67,1
371,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,1,43.14,1
372,Psycho: Sanitarium (Psycho #1.5),5,36.97,1
373,Poisonous (Max Revere Novels #3),3,26.8,1
374,One with You (Crossfire #5),4,15.71,1
375,No Love Allowed (Dodge Cove #1),4,54.65,1
376,Murder at the 42nd Street Library (Raymond Ambler #1),4,54.36,1
377,Most Wanted,3,35.28,1
378,"Love, Lies and Spies",2,20.55,1
379,How to Speak Golf: An Illustrated Guide to Links Lingo,5,58.32,1
380,Hide Away (Eve Duncan #20),1,11.84,1
381,Furiously Happy: A Funny Book About Horrible Things,4,41.46,1
382,Everyday Italian: 125 Simple and Delicious Recipes,5,20.1,1
383,Equal Is Unfair: America's Misguided Fight Against Income Inequality,1,56.86,1
384,Eleanor & Park,5,56.51,1
385,Dirty (Dive Bar #1),4,40.83,1
386,Can You Keep a Secret? (Fear Street Relaunch #4),1,48.64,1
387,Boar Island (Anna Pigeon #19),3,59.48,1
388,A Paris Apartment,4,39.01,1
389,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",1,38.77,1
390,Troublemaker: Surviving Hollywood and Scientology,2,48.39,1
391,The Widow,2,27.26,1
392,"The Sleep Revolution: Transforming Your Life, One Night at a Time",4,11.68,1
393,The Improbability of Love,1,59.45,1
394,The Art of Startup Fundraising,3,21,1
395,Take Me Home Tonight (Rock Star Romance #3),3,53.98,1
396,Sleeping Giants (Themis Files #1),1,48.74,1
397,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",2,21.15,1
398,Playing with Fire,3,13.71,1
399,Off the Hook (Fishing for Trouble #1),3,47.67,1
400,Mothering Sunday,2,13.34,1
401,"Mother, Can You Not?",5,16.89,1
402,M Train,1,27.18,1
403,Lilac Girls,2,17.28,1
404,Lies and Other Acts of Love,1,45.14,1
405,Lab Girl,1,40.85,1
406,Keep Me Posted,4,20.46,1
407,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,3,56.27,1
408,Grey (Fifty Shades #4),4,48.49,1
409,"Exit, Pursued by a Bear",4,51.34,1
410,Daredevils,3,16.34,1
411,Cravings: Recipes for What You Want to Eat,3,20.5,1
412,Born for This: How to Find the Work You Were Meant to Do,5,21.59,1
413,Arena,4,21.36,1
414,Adultery,5,20.88,1
415,A Mother's Reckoning: Living in the Aftermath of Tragedy,3,19.53,1
416,A Gentleman's Position (Society of Gentlemen #3),5,14.75,1
417,11/22/63,3,48.48,1
418,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",2,24.57,1
419,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,5,49.71,1
420,Without Shame,5,48.27,1
421,Watchmen,4,58.05,1
422,Unlimited Intuition Now,4,58.87,1
423,Underlying Notes,2,11.82,1
424,The Shack,1,28.03,1
425,The New Brand You: Your New Image Makes the Sale for You,5,44.05,1
426,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",4,12.34,1
427,The Flowers Lied,2,16.68,1
428,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",1,55.91,1
429,The Book of Mormon,3,24.57,1
430,The Art and Science of Low Carbohydrate Living,5,52.98,1
431,The Alien Club,1,54.4,1
432,Suzie Snowflake: One beautiful flake (a self-esteem story),5,54.81,1
433,Nap-a-Roo,1,25.08,1
434,"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",4,10.41,1
435,Modern Day Fables,2,47.44,1
436,If I Gave You God's Phone Number....: Searching for Spirituality in America,1,20.91,1
437,"Fruits Basket, Vol. 9 (Fruits Basket #9)",4,33.95,1
438,Dress Your Family in Corduroy and Denim,3,43.68,1
439,Don't Forget Steven,1,33.23,1
440,Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,2,35.92,1
441,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,4,48.63,1
442,A Shard of Ice (The Black Symphony Saga #1),3,56.63,1
443,A Hero's Curse (The Unseen Chronicles #1),3,50.49,1
444,23 Degrees South: A Tropical Tale of Changing Whether...,2,35.79,1
445,"Zero to One: Notes on Startups, or How to Build the Future",3,34.06,1
446,Why Not Me?,1,17.76,1
447,When Breath Becomes Air,2,39.36,1
448,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2,36.94,1
449,The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),5,43.62,1
450,The New Drawing on the Right Side of the Brain,3,43.02,1
451,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",4,28.45,1
452,The Martian (The Martian #1),2,41.39,1
453,The High Mountains of Portugal,1,51.15,1
454,The Grownup,1,35.88,1
455,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,1,36.91,1
456,South of Sunshine,1,28.93,1
457,Smarter Faster Better: The Secrets of Being Productive in Life and Business,5,38.89,1
458,Silence in the Dark (Logan Point #4),3,58.33,1
459,Shadows of the Past (Logan Point #1),5,39.67,1
